Intent,Patterns,Responses,,,,,,,,,
,,,,,,,,,subjects for 1st year,,
,,,,,,,,,subjects for 2nd year,,
,,,,,,,,,subjects for 3rd year,,
,,,,,,,,,subjects for 4th year,,
,,,,,,,,,competition exams,,
,,,,,,,,,,,
,,,,,,,,,Timetable,"Where can I find my timetable?, What are my classes for today?, When is my next class?","You can find your timetable on the school portal., Your class schedule is available on the school website., Please check your email for your class schedule."
,,,,,,,,,Assignments,"What is the deadline for submitting assignments?,where can i see my assignments details?","You can view your assignments on the school portal., Please submit your assignment through the school website., Please contact your teacher for assistance with your assignment."
,,,,,,,,,Fees,"How much are my fees?, When are my fees due?, How do I pay my fees?","Please contact the accounts department for information on fees., Your fee information is available on the school website., Please check your email for information on fees."
,,,,,,,,,Library,"What are the library hours?, How do I check out a book?, What books are available in the library?","The school library is open from 8am to 5pm on weekdays., Please see the librarian to check out a book., You can search the library catalog on the school website."
,,,,,,,,,Sports,"How do I join a sports team?, What sports activities are available?, When is the next game?","Please contact the sports department for information on sports activities., You can sign up for a sports team on the school website., Please check the school calendar for the next game."
,,,,,,,,,Goodbye,"Bye, Goodbye, See you later, Take care","Goodbye! Have a great day., See you later!, Take care!"
